Name,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22
Page_0001_4_6_1_in,143.9007263922518,31.50363196125908,272.0,80.0,139.0,171.0,109.0,2.0,109.0,52.0,128.0,11.0,128.0,75.0,186.0,14.0,186.0,75.0,205.0,4.0,205.0,54.0
Page_0001_4_6_2_out,109.67791411042944,41.75460122699386,218.0,91.0,110.0,121.0,77.0,12.0,77.0,53.0,95.0,26.0,95.0,86.0,143.0,36.0,143.0,81.0,150.0,30.0,150.0,63.0
Page_0001_4_6_3_in,115.59779614325069,33.32231404958678,253.0,80.0,88.0,104.0,43.0,3.0,43.0,43.0,58.0,13.0,58.0,66.0,128.0,19.0,128.0,71.0,138.0,13.0,138.0,48.0
Page_0001_4_6_4_out,91.4954128440367,34.25382262996942,198.0,81.0,79.0,91.0,40.0,3.0,40.0,49.0,59.0,11.0,59.0,74.0,106.0,18.0,106.0,76.0,119.0,11.0,119.0,53.0
Page_0001_4_7_1_out,134.5985221674877,39.58620689655172,260.0,87.0,120.0,143.0,95.0,12.0,95.0,60.0,114.0,22.0,114.0,85.0,170.0,12.0,170.0,80.0,189.0,1.0,189.0,59.0
Page_0001_4_7_2_in,117.24418604651163,25.7703488372093,230.0,70.0,110.0,132.0,85.0,1.0,85.0,39.0,104.0,5.0,104.0,68.0,155.0,11.0,155.0,58.0,164.0,6.0,164.0,34.0
Page_0001_4_7_3_out,151.52359550561798,32.04719101123595,301.0,86.0,142.0,166.0,113.0,1.0,113.0,56.0,126.0,13.0,126.0,80.0,178.0,11.0,178.0,80.0,194.0,1.0,194.0,51.0
Page_0001_4_7_4_in,82.55972696245733,29.55631399317406,175.0,68.0,63.0,91.0,34.0,1.0,34.0,37.0,49.0,8.0,49.0,63.0,101.0,12.0,101.0,65.0,115.0,5.0,115.0,45.0
Page_0001_5_1_1_in,132.89485458612975,43.557046979865774,269.0,102.0,114.0,150.0,67.0,9.0,67.0,68.0,89.0,19.0,89.0,96.0,161.0,15.0,161.0,99.0,190.0,1.0,190.0,66.0
Page_0001_5_1_2_out,112.18478260869566,28.85326086956522,235.0,78.0,87.0,107.0,61.0,5.0,61.0,52.0,73.0,19.0,73.0,73.0,123.0,10.0,123.0,73.0,140.0,1.0,140.0,54.0
Page_0001_5_1_3_in,148.7648456057007,35.049881235154395,277.0,89.0,170.0,183.0,118.0,1.0,118.0,50.0,136.0,12.0,136.0,79.0,203.0,16.0,203.0,84.0,219.0,10.0,219.0,58.0
Page_0001_5_1_4_out,115.49854227405248,29.580174927113703,225.0,78.0,114.0,130.0,90.0,3.0,90.0,48.0,103.0,12.0,103.0,73.0,146.0,17.0,146.0,71.0,152.0,12.0,152.0,45.0
Page_0001_5_2_1_out,155.36705882352942,47.2,281.0,97.0,165.0,177.0,134.0,23.0,134.0,66.0,143.0,35.0,143.0,90.0,200.0,19.0,200.0,92.0,227.0,5.0,227.0,65.0
Page_0001_5_2_2_in,110.95705521472392,32.33435582822086,208.0,75.0,121.0,139.0,83.0,7.0,83.0,42.0,95.0,8.0,95.0,66.0,153.0,9.0,153.0,68.0,159.0,5.0,159.0,43.0
Page_0001_5_2_3_out,152.12775330396477,52.381057268722465,301.0,111.0,121.0,140.0,106.0,39.0,106.0,81.0,113.0,45.0,113.0,108.0,169.0,25.0,169.0,102.0,200.0,5.0,200.0,69.0
Page_0001_5_2_4_in,103.8123076923077,31.858461538461537,205.0,79.0,94.0,114.0,67.0,11.0,67.0,43.0,71.0,16.0,71.0,67.0,124.0,8.0,124.0,75.0,140.0,2.0,140.0,45.0
Page_0001_5_3_1_in,127.9559902200489,36.87530562347188,248.0,85.0,125.0,146.0,83.0,11.0,83.0,52.0,95.0,18.0,95.0,77.0,161.0,14.0,161.0,79.0,180.0,2.0,180.0,54.0
Page_0001_5_3_2_out,118.81538461538462,32.45897435897436,225.0,80.0,128.0,144.0,94.0,6.0,94.0,41.0,103.0,15.0,103.0,72.0,156.0,8.0,156.0,75.0,171.0,2.0,171.0,49.0
Page_0001_5_3_3_in,155.37325349301398,41.21157684630739,312.0,96.0,130.0,149.0,92.0,13.0,92.0,63.0,108.0,20.0,108.0,90.0,182.0,7.0,182.0,87.0,205.0,1.0,205.0,59.0
Page_0001_5_3_4_out,100.43888888888888,33.46111111111111,205.0,80.0,92.0,98.0,59.0,2.0,59.0,52.0,74.0,9.0,74.0,73.0,124.0,16.0,124.0,70.0,136.0,10.0,136.0,48.0
Page_0001_5_4_1_out,152.82203389830508,43.228813559322035,307.0,100.0,124.0,148.0,97.0,19.0,97.0,70.0,111.0,29.0,111.0,96.0,175.0,10.0,175.0,92.0,201.0,1.0,201.0,63.0
