Piece,Side,page,row,column,side number,In_Out,Matched,Matched_side,Width,Height,symetry,m,c,head_flatness,
Page_0001_2_3,Page_0001_2_3_2_in,0001,2,3,2,in,0,,217.4511439,217.4511439,0.493856403,0.0048742,42.87655143,,
Page_0001_2_3,Page_0001_2_3_3_out,0001,2,3,3,out,0,,207.5427667,207.5427667,0.50459674,-0.065734311,41.20093328,,
Page_0001_2_3,Page_0001_2_3_4_in,0001,2,3,4,in,0,,223.0807029,223.0807029,0.593348739,0.044385751,25.33106657,,
Page_0001_2_5,Page_0001_2_5_1_in,0001,2,5,1,in,0,,189.9526257,189.9526257,0.494290782,-0.131993069,54.59318429,,
Page_0001_2_5,Page_0001_2_5_2_out,0001,2,5,2,out,1,Page_0001_2_6_2_in,217.6717713,217.6717713,0.620902894,-0.040279413,37.51229425,,
Page_0001_2_5,Page_0001_2_5_3_in,0001,2,5,3,in,0,,237.0021097,237.0021097,0.524497062,0.051966532,24.37973632,,
Page_0001_2_5,Page_0001_2_5_4_out,0001,2,5,4,out,0,,194.4350791,194.4350791,0.479751356,0.041190536,25.38379512,,
Page_0001_2_6,Page_0001_2_6_1_out,0001,2,6,1,out,0,,190.3785702,190.3785702,0.530129125,0.079287333,35.1120056,,
Page_0001_2_6,Page_0001_2_6_2_in,0001,2,6,2,in,1,Page_0001_2_5_2_out,209.6902477,209.6902477,0.636229247,0.036848266,24.53241811,,
Page_0001_2_6,Page_0001_2_6_3_out,0001,2,6,3,out,0,,214.0584032,214.0584032,0.488138626,0.027408359,32.55109936,,
Page_0001_2_6,Page_0001_2_6_4_in,0001,2,6,4,in,0,,218.0091741,218.0091741,0.383731695,-0.089302726,37.96626696,,
Page_0001_2_7,Page_0001_2_7_1_out,0001,2,7,1,out,0,,292.2892403,292.2892403,0.497629722,-0.057396303,43.69371305,,
Page_0001_2_7,Page_0001_2_7_2_in,0001,2,7,2,in,0,,190.1630879,190.1630879,0.43554007,-0.005578674,32.97868935,,
