side1,similarity1,side2,similarity2,side3,similarity3,side4,similarity4
Page_0001_5_7,0.24064883589744568,Page_0001_5_7,0.19870123267173767,Page_0001_5_7,0.2151012420654297,Page_0001_5_7,0.19569168984889984
Page_0001_5_6,0.21219708025455475,Page_0001_5_6,0.16557538509368896,Page_0001_5_6,0.2027626931667328,Page_0001_5_6,0.18663504719734192
Page_0001_5_5,0.2657252550125122,Page_0001_5_5,0.21860036253929138,Page_0001_5_5,0.21037039160728455,Page_0001_5_5,0.2129797637462616
Page_0001_5_4,0.19167688488960266,Page_0001_5_4,0.21082979440689087,Page_0001_5_4,0.25957435369491577,Page_0001_5_4,0.23030586540699005
Page_0001_5_3,0.1831427365541458,Page_0001_5_3,0.18401220440864563,Page_0001_5_3,0.2003283053636551,Page_0001_5_3,0.2587504982948303
Page_0001_5_2,0.20949268341064453,Page_0001_5_2,0.1627596914768219,Page_0001_5_2,0.16803786158561707,Page_0001_5_2,0.1726696789264679
Page_0001_5_1,0.2323499172925949,Page_0001_5_1,0.21955233812332153,Page_0001_5_1,0.19047555327415466,Page_0001_5_1,0.2522663176059723
Page_0001_4_7,0.20698390901088715,Page_0001_4_7,0.19580046832561493,Page_0001_4_7,0.22491145133972168,Page_0001_4_7,0.17142096161842346
Page_0001_4_6,0.21194373071193695,Page_0001_4_6,0.23485182225704193,Page_0001_4_6,0.3060951232910156,Page_0001_4_6,0.24739056825637817
Page_0001_4_5,0.15584474802017212,Page_0001_4_5,0.20695674419403076,Page_0001_4_5,0.21809324622154236,Page_0001_4_5,0.21306471526622772
Page_0001_4_4,0.16576097905635834,Page_0001_4_4,0.1369423121213913,Page_0001_4_4,0.1709783524274826,Page_0001_4_4,0.2557157576084137
Page_0001_4_3,0.23303550481796265,Page_0001_4_3,0.17938652634620667,Page_0001_4_3,0.1829070895910263,Page_0001_4_3,0.24755467474460602
Page_0001_4_2,0.22919519245624542,Page_0001_4_2,0.30355191230773926,Page_0001_4_2,0.21827064454555511,Page_0001_4_2,0.20378345251083374
Page_0001_4_1,0.24168863892555237,Page_0001_4_1,0.14965930581092834,Page_0001_4_1,0.19584131240844727,Page_0001_4_1,0.1866150051355362
Page_0001_3_7,0.17611204087734222,Page_0001_3_7,0.2112949937582016,Page_0001_3_7,0.18251661956310272,Page_0001_3_7,0.21283197402954102
Page_0001_3_6,0.2803899943828583,Page_0001_3_6,0.1552157700061798,Page_0001_3_6,0.17306941747665405,Page_0001_3_6,0.2768407166004181
Page_0001_3_5,0.16749471426010132,Page_0001_3_5,0.20346860587596893,Page_0001_3_5,0.21829695999622345,Page_0001_3_5,0.19858449697494507
Page_0001_3_4,0.20577144622802734,Page_0001_3_4,0.20497702062129974,Page_0001_3_4,0.20043601095676422,Page_0001_3_4,0.20755651593208313
Page_0001_3_3,0.2405708283185959,Page_0001_3_3,0.15098725259304047,Page_0001_3_3,0.23836612701416016,Page_0001_3_3,0.20528800785541534
Page_0001_3_2,0.21619723737239838,Page_0001_3_2,0.15767990052700043,Page_0001_3_2,0.19977594912052155,Page_0001_3_2,0.23628047108650208
Page_0001_3_1,0.2062593549489975,Page_0001_3_1,0.13495422899723053,Page_0001_3_1,0.18601475656032562,Page_0001_3_1,0.2040916383266449
Page_0001_2_7,0.18839031457901,Page_0001_2_7,0.30407950282096863,Page_0001_2_7,0.20705363154411316,Page_0001_2_7,0.22740529477596283
Page_0001_2_6,0.2406926304101944,Page_0001_2_6,0.16915924847126007,Page_0001_2_6,0.19901539385318756,Page_0001_2_6,0.23075373470783234
Page_0001_2_5,0.18885035812854767,Page_0001_2_5,0.1864681839942932,Page_0001_2_5,0.22963252663612366,Page_0001_2_5,0.21788130700588226
Page_0001_2_4,0.22106637060642242,Page_0001_2_4,0.18209649622440338,Page_0001_2_4,0.25839388370513916,Page_0001_2_4,0.20784354209899902
Page_0001_2_3,0.21318119764328003,Page_0001_2_3,0.14590346813201904,Page_0001_2_3,0.19207416474819183,Page_0001_2_3,0.19298246502876282
Page_0001_2_2,0.28763580322265625,Page_0001_2_2,0.20812393724918365,Page_0001_2_2,0.1825086623430252,Page_0001_2_2,0.2322768121957779
Page_0001_2_1,0.2619057893753052,Page_0001_2_1,0.1712770164012909,Page_0001_2_1,0.19950920343399048,Page_0001_2_1,0.22215726971626282
Page_0001_1_7,0.2077573984861374,Page_0001_1_7,0.1768331676721573,Page_0001_1_7,0.28410282731056213,Page_0001_1_7,0.28260567784309387
Page_0001_1_6,0.24360139667987823,Page_0001_1_6,0.20524120330810547,Page_0001_1_6,0.2553478479385376,Page_0001_1_6,0.21792925894260406
Page_0001_1_4,0.19023020565509796,Page_0001_1_4,0.1738015115261078,Page_0001_1_4,0.21088232100009918,Page_0001_1_4,0.19111037254333496
Page_0001_1_3,0.18365944921970367,Page_0001_1_3,0.19893068075180054,Page_0001_1_3,0.1958218216896057,Page_0001_1_3,0.18615122139453888
Page_0001_1_2,0.22223018109798431,Page_0001_1_2,0.15387357771396637,Page_0001_1_2,0.24122120440006256,Page_0001_1_2,0.24574033915996552
Page_0001_1_1,0.2169807404279709,Page_0001_1_1,0.18550722301006317,Page_0001_1_1,0.29569506645202637,Page_0001_1_1,0.23233066499233246
