side1,similarity1,side2,similarity2,side3,similarity3,side4,similarity4
Page_0001_5_7,0.21666398644447327,Page_0001_5_7,0.17505285143852234,Page_0001_5_7,0.1947251856327057,Page_0001_5_7,0.2921683192253113
Page_0001_5_6,0.17095191776752472,Page_0001_5_6,0.22178296744823456,Page_0001_5_6,0.18570053577423096,Page_0001_5_6,0.20914100110530853
Page_0001_5_5,0.23740209639072418,Page_0001_5_5,0.20247039198875427,Page_0001_5_5,0.1851792335510254,Page_0001_5_5,0.20642884075641632
Page_0001_5_4,0.27724045515060425,Page_0001_5_4,0.17158707976341248,Page_0001_5_4,0.17079788446426392,Page_0001_5_4,0.26553112268447876
Page_0001_5_3,0.15131351351737976,Page_0001_5_3,0.20388872921466827,Page_0001_5_3,0.16116444766521454,Page_0001_5_3,0.26938745379447937
Page_0001_5_2,0.18905134499073029,Page_0001_5_2,0.16412478685379028,Page_0001_5_2,0.13224861025810242,Page_0001_5_2,0.17795443534851074
Page_0001_5_1,0.23157507181167603,Page_0001_5_1,0.19621264934539795,Page_0001_5_1,0.1655604988336563,Page_0001_5_1,0.2522670030593872
Page_0001_4_7,0.17483611404895782,Page_0001_4_7,0.1960788071155548,Page_0001_4_7,0.1454148292541504,Page_0001_4_7,0.21954379975795746
Page_0001_4_6,0.20076808333396912,Page_0001_4_6,0.25384631752967834,Page_0001_4_6,0.14515945315361023,Page_0001_4_6,0.2653080224990845
Page_0001_4_5,0.1916504204273224,Page_0001_4_5,0.19894960522651672,Page_0001_4_5,0.20626899600028992,Page_0001_4_5,0.19977988302707672
Page_0001_4_4,0.1891660839319229,Page_0001_4_4,0.20215649902820587,Page_0001_4_4,0.18880446255207062,Page_0001_4_4,0.25322654843330383
Page_0001_4_3,0.17444150149822235,Page_0001_4_3,0.18266591429710388,Page_0001_4_3,0.16006241738796234,Page_0001_4_3,0.24837346374988556
Page_0001_4_2,0.17584460973739624,Page_0001_4_2,0.2614297866821289,Page_0001_4_2,0.14746534824371338,Page_0001_4_2,0.24209651350975037
Page_0001_4_1,0.15540143847465515,Page_0001_4_1,0.19176416099071503,Page_0001_4_1,0.15130214393138885,Page_0001_4_1,0.22435250878334045
Page_0001_3_6,0.17571920156478882,Page_0001_3_6,0.18416936695575714,Page_0001_3_6,0.13351985812187195,Page_0001_3_6,0.27007049322128296
Page_0001_3_5,0.16170871257781982,Page_0001_3_5,0.18857182562351227,Page_0001_3_5,0.18610510230064392,Page_0001_3_5,0.1973189264535904
Page_0001_3_4,0.21662211418151855,Page_0001_3_4,0.21390366554260254,Page_0001_3_4,0.20093093812465668,Page_0001_3_4,0.22282834351062775
Page_0001_3_3,0.22850993275642395,Page_0001_3_3,0.20877999067306519,Page_0001_3_3,0.176031231880188,Page_0001_3_3,0.23404079675674438
Page_0001_3_2,0.14803460240364075,Page_0001_3_2,0.18406523764133453,Page_0001_3_2,0.21452079713344574,Page_0001_3_2,0.21605724096298218
Page_0001_3_1,0.21554851531982422,Page_0001_3_1,0.16038878262043,Page_0001_3_1,0.149341881275177,Page_0001_3_1,0.2170717418193817
Page_0001_2_7,0.23347949981689453,Page_0001_2_7,0.21577465534210205,Page_0001_2_7,0.1795620322227478,Page_0001_2_7,0.24335719645023346
Page_0001_2_6,0.1670936793088913,Page_0001_2_6,0.188335582613945,Page_0001_2_6,0.11898402124643326,Page_0001_2_6,0.23333418369293213
Page_0001_2_5,0.1548384428024292,Page_0001_2_5,0.19567914307117462,Page_0001_2_5,0.14047811925411224,Page_0001_2_5,0.1926576942205429
Page_0001_2_4,0.1836748570203781,Page_0001_2_4,0.17983956634998322,Page_0001_2_4,0.1514362245798111,Page_0001_2_4,0.19890834391117096
Page_0001_2_3,0.17921777069568634,Page_0001_2_3,0.15925651788711548,Page_0001_2_3,0.14979758858680725,Page_0001_2_3,0.20283381640911102
Page_0001_2_2,0.17653688788414001,Page_0001_2_2,0.20596839487552643,Page_0001_2_2,0.16758166253566742,Page_0001_2_2,0.23264606297016144
Page_0001_2_1,0.16910789906978607,Page_0001_2_1,0.1627510040998459,Page_0001_2_1,0.14660635590553284,Page_0001_2_1,0.20101219415664673
Page_0001_1_7,0.2572144865989685,Page_0001_1_7,0.19213718175888062,Page_0001_1_7,0.14502403140068054,Page_0001_1_7,0.28014206886291504
Page_0001_1_6,0.15625952184200287,Page_0001_1_6,0.22323206067085266,Page_0001_1_6,0.19546647369861603,Page_0001_1_6,0.23385564982891083
Page_0001_1_5,0.20925766229629517,Page_0001_1_5,0.1709623783826828,Page_0001_1_5,0.2093571573495865,Page_0001_1_5,0.26266688108444214
Page_0001_1_4,0.15364781022071838,Page_0001_1_4,0.2963944971561432,Page_0001_1_4,0.13309437036514282,Page_0001_1_4,0.2592701017856598
Page_0001_1_3,0.14341053366661072,Page_0001_1_3,0.1731615513563156,Page_0001_1_3,0.14974594116210938,Page_0001_1_3,0.24018549919128418
Page_0001_1_2,0.18146826326847076,Page_0001_1_2,0.2703351676464081,Page_0001_1_2,0.1711065024137497,Page_0001_1_2,0.30438941717147827
Page_0001_1_1,0.23985806107521057,Page_0001_1_1,0.1882331520318985,Page_0001_1_1,0.18054592609405518,Page_0001_1_1,0.23319587111473083
