side1,similarity1,side2,similarity2,side3,similarity3,side4,similarity4
Page_0001_5_7,0.15894825756549835,Page_0001_5_7,0.24462197721004486,Page_0001_5_7,0.2885284721851349,Page_0001_5_7,0.22098058462142944
Page_0001_5_6,0.1527811735868454,Page_0001_5_6,0.27293384075164795,Page_0001_5_6,0.23699931800365448,Page_0001_5_6,0.2145528346300125
Page_0001_5_5,0.16134193539619446,Page_0001_5_5,0.2320280820131302,Page_0001_5_5,0.19388338923454285,Page_0001_5_5,0.21280992031097412
Page_0001_5_4,0.1956779509782791,Page_0001_5_4,0.1957014501094818,Page_0001_5_4,0.16170933842658997,Page_0001_5_4,0.21961604058742523
Page_0001_5_3,0.17502272129058838,Page_0001_5_3,0.22244955599308014,Page_0001_5_3,0.2639797329902649,Page_0001_5_3,0.24663794040679932
Page_0001_5_2,0.2039121389389038,Page_0001_5_2,0.22463193535804749,Page_0001_5_2,0.18484333157539368,Page_0001_5_2,0.20677132904529572
Page_0001_5_1,0.1949288696050644,Page_0001_5_1,0.22948817908763885,Page_0001_5_1,0.23057180643081665,Page_0001_5_1,0.39744922518730164
Page_0001_4_7,0.21651102602481842,Page_0001_4_7,0.2402542680501938,Page_0001_4_7,0.1761842966079712,Page_0001_4_7,0.1968461126089096
Page_0001_4_6,0.23832085728645325,Page_0001_4_6,0.18531665205955505,Page_0001_4_6,0.1849016547203064,Page_0001_4_6,0.20664218068122864
Page_0001_4_5,0.1411370187997818,Page_0001_4_5,0.1928303986787796,Page_0001_4_5,0.18409323692321777,Page_0001_4_5,0.2648232877254486
Page_0001_4_4,0.1613893061876297,Page_0001_4_4,0.2363501787185669,Page_0001_4_4,0.20590363442897797,Page_0001_4_4,0.24276401102542877
Page_0001_4_3,0.16124168038368225,Page_0001_4_3,0.18976478278636932,Page_0001_4_3,0.16182954609394073,Page_0001_4_3,0.20176824927330017
Page_0001_4_2,0.20318691432476044,Page_0001_4_2,0.23038096725940704,Page_0001_4_2,0.22562552988529205,Page_0001_4_2,0.2891179323196411
Page_0001_4_1,0.1694614142179489,Page_0001_4_1,0.2275322526693344,Page_0001_4_1,0.19005349278450012,Page_0001_4_1,0.18466967344284058
Page_0001_3_7,0.19285963475704193,Page_0001_3_7,0.21956942975521088,Page_0001_3_7,0.25908732414245605,Page_0001_3_7,0.27795061469078064
Page_0001_3_6,0.1498204916715622,Page_0001_3_6,0.3551311790943146,Page_0001_3_6,0.2292659431695938,Page_0001_3_6,0.24652741849422455
Page_0001_3_5,0.1843656599521637,Page_0001_3_5,0.2273278385400772,Page_0001_3_5,0.21628639101982117,Page_0001_3_5,0.24113105237483978
Page_0001_3_4,0.19230638444423676,Page_0001_3_4,0.24309058487415314,Page_0001_3_4,0.26596206426620483,Page_0001_3_4,0.25221994519233704
Page_0001_3_3,0.1837240606546402,Page_0001_3_3,0.24726074934005737,Page_0001_3_3,0.2527211308479309,Page_0001_3_3,0.2524029016494751
Page_0001_3_2,0.1874484121799469,Page_0001_3_2,0.20952247083187103,Page_0001_3_2,0.20517005026340485,Page_0001_3_2,0.29827025532722473
Page_0001_3_1,0.1938485950231552,Page_0001_3_1,0.20192687213420868,Page_0001_3_1,0.25688865780830383,Page_0001_3_1,0.22408828139305115
Page_0001_2_7,0.19205734133720398,Page_0001_2_7,0.17287835478782654,Page_0001_2_7,0.24581949412822723,Page_0001_2_7,0.16590619087219238
Page_0001_2_6,0.18866877257823944,Page_0001_2_6,0.22276078164577484,Page_0001_2_6,0.24763955175876617,Page_0001_2_6,0.28054383397102356
Page_0001_2_5,0.19469642639160156,Page_0001_2_5,0.20899853110313416,Page_0001_2_5,0.23653748631477356,Page_0001_2_5,0.20002160966396332
Page_0001_2_3,0.15398606657981873,Page_0001_2_3,0.22617299854755402,Page_0001_2_3,0.23041899502277374,Page_0001_2_3,0.255986750125885
Page_0001_2_2,0.14011411368846893,Page_0001_2_2,0.19539275765419006,Page_0001_2_2,0.23620890080928802,Page_0001_2_2,0.25001001358032227
Page_0001_2_1,0.21199248731136322,Page_0001_2_1,0.20754912495613098,Page_0001_2_1,0.23185135424137115,Page_0001_2_1,0.209552600979805
Page_0001_1_7,0.18709123134613037,Page_0001_1_7,0.20931871235370636,Page_0001_1_7,0.18615883588790894,Page_0001_1_7,0.236339271068573
Page_0001_1_6,0.19419722259044647,Page_0001_1_6,0.20334134995937347,Page_0001_1_6,0.2028731256723404,Page_0001_1_6,0.19520874321460724
Page_0001_1_5,0.21046531200408936,Page_0001_1_5,0.19309455156326294,Page_0001_1_5,0.1699371337890625,Page_0001_1_5,0.20703965425491333
Page_0001_1_4,0.19414961338043213,Page_0001_1_4,0.17481683194637299,Page_0001_1_4,0.20691248774528503,Page_0001_1_4,0.2135765254497528
Page_0001_1_3,0.15984660387039185,Page_0001_1_3,0.21779866516590118,Page_0001_1_3,0.2330055981874466,Page_0001_1_3,0.21573567390441895
Page_0001_1_2,0.16457903385162354,Page_0001_1_2,0.23769095540046692,Page_0001_1_2,0.20160169899463654,Page_0001_1_2,0.26984524726867676
Page_0001_1_1,0.17520199716091156,Page_0001_1_1,0.22749879956245422,Page_0001_1_1,0.20748940110206604,Page_0001_1_1,0.22032448649406433
