piece,IMG_001_1_1_1_int.jpg_similarity,IMG_001_1_1_2_int.jpg_similarity,IMG_001_1_1_3_out.jpg_similarity,IMG_001_1_1_4_int.jpg_similarity,IMG_001_1_2_1_out.jpg_similarity,IMG_001_1_2_2_int.jpg_similarity,IMG_001_1_2_3_out.jpg_similarity,IMG_001_1_2_4_int.jpg_similarity,IMG_001_1_3_1_out.jpg_similarity,IMG_001_1_3_2_int.jpg_similarity,IMG_001_1_3_3_out.jpg_similarity,IMG_001_1_3_4_int.jpg_similarity,IMG_001_1_4_2_int.jpg_similarity,IMG_001_1_4_3_out.jpg_similarity,IMG_001_1_4_4_int.jpg_similarity,IMG_001_1_5_1_out.jpg_similarity,IMG_001_1_5_2_int.jpg_similarity,IMG_001_1_5_3_out.jpg_similarity,IMG_001_1_5_4_int.jpg_similarity,IMG_001_1_6_1_int.jpg_similarity,IMG_001_1_6_2_out.jpg_similarity,IMG_001_1_6_3_int.jpg_similarity,IMG_001_1_6_4_out.jpg_similarity,IMG_001_1_7_1_int.jpg_similarity,IMG_001_1_7_2_out.jpg_similarity,IMG_001_1_7_3_int.jpg_similarity,IMG_001_1_7_4_out.jpg_similarity,IMG_001_2_1_1_out.jpg_similarity,IMG_001_2_1_2_int.jpg_similarity,IMG_001_2_1_3_out.jpg_similarity,IMG_001_2_1_4_int.jpg_similarity,IMG_001_2_2_1_out.jpg_similarity,IMG_001_2_2_2_int.jpg_similarity,IMG_001_2_2_3_out.jpg_similarity,IMG_001_2_2_4_int.jpg_similarity,IMG_001_2_3_1_int.jpg_similarity,IMG_001_2_3_2_out.jpg_similarity,IMG_001_2_3_3_int.jpg_similarity,IMG_001_2_3_4_out.jpg_similarity,IMG_001_2_4_1_out.jpg_similarity,IMG_001_2_4_2_int.jpg_similarity,IMG_001_2_4_3_out.jpg_similarity,IMG_001_2_4_4_int.jpg_similarity,IMG_001_2_5_1_out.jpg_similarity,IMG_001_2_5_2_int.jpg_similarity,IMG_001_2_5_3_out.jpg_similarity,IMG_001_2_5_4_int.jpg_similarity,IMG_001_2_6_1_out.jpg_similarity,IMG_001_2_6_2_int.jpg_similarity,IMG_001_2_6_3_out.jpg_similarity,IMG_001_2_6_4_int.jpg_similarity,IMG_001_2_7_1_int.jpg_similarity,IMG_001_2_7_2_out.jpg_similarity,IMG_001_2_7_3_int.jpg_similarity,IMG_001_2_7_4_int.jpg_similarity,IMG_001_3_1_1_out.jpg_similarity,IMG_001_3_1_2_int.jpg_similarity,IMG_001_3_1_3_out.jpg_similarity,IMG_001_3_1_4_int.jpg_similarity,IMG_001_3_2_1_out.jpg_similarity,IMG_001_3_2_2_int.jpg_similarity,IMG_001_3_2_3_out.jpg_similarity,IMG_001_3_2_4_int.jpg_similarity,IMG_001_3_3_1_int.jpg_similarity,IMG_001_3_3_2_out.jpg_similarity,IMG_001_3_3_3_int.jpg_similarity,IMG_001_3_3_4_out.jpg_similarity,IMG_001_3_4_1_out.jpg_similarity,IMG_001_3_4_2_int.jpg_similarity,IMG_001_3_4_3_out.jpg_similarity,IMG_001_3_4_4_int.jpg_similarity,IMG_001_3_5_1_int.jpg_similarity,IMG_001_3_5_2_out.jpg_similarity,IMG_001_3_5_3_int.jpg_similarity,IMG_001_3_5_4_out.jpg_similarity,IMG_001_3_6_1_int.jpg_similarity,IMG_001_3_6_2_out.jpg_similarity,IMG_001_3_6_3_int.jpg_similarity,IMG_001_3_6_4_out.jpg_similarity,IMG_001_3_7_1_int.jpg_similarity,IMG_001_3_7_2_out.jpg_similarity,IMG_001_3_7_3_int.jpg_similarity,IMG_001_3_7_4_out.jpg_similarity,IMG_001_4_1_1_int.jpg_similarity,IMG_001_4_1_2_out.jpg_similarity,IMG_001_4_1_3_int.jpg_similarity,IMG_001_4_1_4_out.jpg_similarity,IMG_001_4_2_1_out.jpg_similarity,IMG_001_4_2_2_int.jpg_similarity,IMG_001_4_2_3_out.jpg_similarity,IMG_001_4_2_4_int.jpg_similarity,IMG_001_4_3_1_int.jpg_similarity,IMG_001_4_3_2_out.jpg_similarity,IMG_001_4_3_3_int.jpg_similarity,IMG_001_4_3_4_out.jpg_similarity,IMG_001_4_4_1_int.jpg_similarity,IMG_001_4_4_2_out.jpg_similarity,IMG_001_4_4_3_int.jpg_similarity,IMG_001_4_4_4_out.jpg_similarity,IMG_001_4_5_1_out.jpg_similarity,IMG_001_4_5_2_int.jpg_similarity,IMG_001_4_5_3_out.jpg_similarity,IMG_001_4_5_4_int.jpg_similarity,IMG_001_4_6_1_out.jpg_similarity,IMG_001_4_6_2_int.jpg_similarity,IMG_001_4_6_3_out.jpg_similarity,IMG_001_4_6_4_int.jpg_similarity,IMG_001_4_7_1_int.jpg_similarity,IMG_001_4_7_2_out.jpg_similarity,IMG_001_4_7_3_int.jpg_similarity,IMG_001_4_7_4_out.jpg_similarity,IMG_001_5_1_1_out.jpg_similarity,IMG_001_5_1_2_int.jpg_similarity,IMG_001_5_1_3_out.jpg_similarity,IMG_001_5_1_4_int.jpg_similarity,IMG_001_5_2_1_out.jpg_similarity,IMG_001_5_2_2_int.jpg_similarity,IMG_001_5_2_3_out.jpg_similarity,IMG_001_5_2_4_int.jpg_similarity,IMG_001_5_3_1_out.jpg_similarity,IMG_001_5_3_2_int.jpg_similarity,IMG_001_5_3_3_out.jpg_similarity,IMG_001_5_3_4_int.jpg_similarity,IMG_001_5_4_1_out.jpg_similarity,IMG_001_5_4_2_int.jpg_similarity,IMG_001_5_4_3_out.jpg_similarity,IMG_001_5_4_4_int.jpg_similarity,IMG_001_5_5_1_int.jpg_similarity,IMG_001_5_5_2_out.jpg_similarity,IMG_001_5_5_3_int.jpg_similarity,IMG_001_5_5_4_out.jpg_similarity,IMG_001_5_6_1_int.jpg_similarity,IMG_001_5_6_2_out.jpg_similarity,IMG_001_5_6_3_int.jpg_similarity,IMG_001_5_6_4_out.jpg_similarity,IMG_001_5_7_1_int.jpg_similarity,IMG_001_5_7_2_out.jpg_similarity,IMG_001_5_7_3_int.jpg_similarity,IMG_001_5_7_4_int.jpg_similarity
IMG_001_1_1_1_int.jpg,9.011032,10.511692,8.829984,9.204732,9.583028,9.05054,9.462532,8.72446,8.538084,9.820696,8.861248,9.322152,9.339888,8.554676,9.394084,9.91698,9.41926,9.613048,8.204652,9.116724,8.956676,9.473132,8.609164,8.480136,9.010404,8.648184,9.249756,8.354524,9.768212,8.974912,9.565692,9.61578,9.202348,9.472808,8.853948,9.329232,8.549556,10.300012,9.286776,9.309552,8.620668,9.73846,8.63176,8.614876,9.978436,8.608244,9.491148,9.019488,8.573128,9.21732,9.00808,9.826356,8.999968,9.766708,9.044076,8.269664,9.588228,8.917204,9.772492,9.21128,8.954148,9.458232,9.195384,9.502032,9.060496,9.86386,8.819616,8.908552,8.915356,9.680808,9.409588,9.5274,8.999044,9.22082,8.971608,8.546756,9.45042,8.67346,9.050252,9.557192,8.824512,9.61886,8.626784,9.4648,8.929456,9.884444,8.6677,8.999396,9.493524,9.519136,9.564948,8.837996,9.63686,9.315468,9.80816,9.118816,9.6307,9.84102,9.634552,8.932876,9.2258,9.68052,9.364776,9.44226,9.490064,9.515444,9.27096,8.917796,9.58574,9.476588,9.400832,8.44926,10.09028,8.747048,9.540556,9.423072,9.104668,9.869144,9.496532,9.469968,9.209756,9.781368,9.612436,8.431596,9.416292,9.02718,9.83264,8.965608,9.235796,8.815244,9.207232,8.817304,9.516604,8.49346,8.945628,9.438412,8.824992,9.724256,9.037284
IMG_001_1_1_2_int.jpg,10.511692,12.520064,11.192044,11.280168,11.405392,10.974712,11.45352,10.742016,10.628536,11.884924,10.925732,11.2267,11.509292,10.595968,11.183,11.953216,11.412504,11.597036,10.719728,11.30056,10.772376,11.411992,10.660672,10.43082,10.945208,10.592676,11.155216,10.801616,11.667664,10.88654,11.428352,11.544568,11.145128,11.427588,10.782968,11.191428,10.939984,12.122472,11.399332,11.272636,10.665584,11.569488,10.714916,10.881912,11.849096,10.617824,11.384496,11.150412,10.952844,11.803364,10.960948,11.687136,11.271188,11.589552,10.57012,10.74722,11.809976,11.094688,11.590744,11.279852,10.840152,11.772716,11.118156,11.53326,11.183636,11.71736,10.823956,10.880772,10.949616,11.807364,11.304496,11.456524,11.22612,11.350152,10.95014,10.583112,11.36496,10.524808,11.242072,11.3873,11.001604,11.370144,10.726716,11.379884,10.96102,11.687688,10.961032,10.74044,11.488648,11.301148,11.417656,10.835088,11.727,11.221208,11.63558,11.080252,11.551376,11.666528,11.445812,11.091232,11.392764,11.478316,11.225428,11.398176,11.485716,11.626056,11.078748,10.77232,11.446888,11.31924,11.333404,10.699232,11.870332,10.879636,11.454488,11.224684,11.00132,11.940708,11.24276,11.485124,11.052864,11.587844,11.577296,10.52444,11.281112,11.160448,11.64114,10.7927,11.127696,10.81424,11.318908,10.806004,11.633496,10.625056,10.96016,11.488688,10.914284,11.539372,10.69428
IMG_001_1_1_3_out.jpg,8.829984,11.192044,10.01196,10.036828,9.939236,9.641484,10.140708,9.430948,9.262156,10.598288,9.677264,9.909096,10.35048,9.251732,9.910036,10.659916,10.14406,10.250688,9.404996,9.977164,9.583716,10.1735,9.419532,8.993864,9.538972,9.25208,9.848516,9.503692,10.51198,9.498608,10.187508,10.362724,9.7931,10.072448,9.35674,9.888528,9.680812,10.818836,10.035888,10.023944,9.464604,10.254004,9.382936,9.59858,10.568964,9.556228,10.032292,9.826832,9.551152,10.711792,9.739728,10.479516,10.049192,10.403348,9.146068,9.475752,10.503876,9.762748,10.30938,10.044184,9.599972,10.588256,9.827656,10.24756,9.959408,10.489868,9.579128,9.591176,9.615908,10.467424,10.125148,10.29876,9.918348,10.041292,9.655208,9.256716,10.274668,9.3785,9.854692,10.1722,9.840792,10.071516,9.225448,10.231536,9.55876,10.399932,9.761964,9.549972,10.283692,10.017008,10.19082,9.55898,10.488972,9.899404,10.373032,9.705904,9.991428,10.06194,10.23712,9.718188,10.12192,10.2098,9.841952,10.161284,10.208696,10.420988,9.911264,9.478044,10.304844,10.182188,10.053624,9.44118,10.582624,9.636872,10.071268,9.911432,9.76006,10.608736,9.9845,10.255048,9.728972,10.210192,10.141212,9.253268,10.151524,10.035132,10.292056,9.457848,9.846636,9.586116,9.965888,9.516824,10.392028,9.318572,9.659148,10.16778,9.693368,10.242544,9.257388
IMG_001_1_1_4_int.jpg,9.204732,11.280168,10.036828,10.123552,10.186304,9.856136,10.28908,9.633848,9.383752,10.734356,9.76958,10.05814,10.439924,9.428064,10.035576,10.793648,10.24584,10.265148,9.526872,10.113264,9.714784,10.332856,9.609384,9.166628,9.723,9.426148,9.854464,9.688664,10.60528,9.584732,10.331336,10.4996,9.980544,10.097932,9.557848,10.061812,9.749176,10.904376,10.182132,10.129372,9.59816,10.284128,9.490748,9.672568,10.719576,9.68968,10.243912,9.868964,9.5905,10.76582,9.795788,10.3706,10.174396,10.496064,9.119208,9.603484,10.703552,9.788936,10.408592,10.028092,9.587096,10.619668,9.83182,10.293316,10.041908,10.412008,9.585676,9.583924,9.649264,10.584188,10.11292,10.406636,9.877848,9.965712,9.753876,9.334744,10.371272,9.605336,9.89328,10.308164,9.830684,10.261888,9.4163,10.384076,9.753532,10.732768,9.899312,9.482848,10.286376,10.1243,10.334984,9.532704,10.670936,10.067112,10.468772,9.733788,10.262952,10.419704,10.404788,9.856376,10.119316,10.305244,9.955564,10.21732,10.232676,10.494248,9.966756,9.608272,10.451656,10.200968,10.127668,9.560288,10.675812,9.622508,10.306728,9.926628,9.80552,10.586444,10.0028,10.291348,9.931888,10.266964,10.31496,9.368976,10.355624,10.16616,10.447492,9.570836,10.037992,9.600008,10.103148,9.574604,10.571296,9.371808,9.67556,10.165512,9.799452,10.43926,9.153664
IMG_001_1_2_1_out.jpg,9.583028,11.405392,9.939236,10.186304,10.1268,9.388776,9.859048,9.46188,9.28628,10.647076,9.244508,9.87354,10.463436,9.260792,10.05396,10.83108,10.15976,10.027804,9.558856,10.179656,9.23336,9.934504,9.545928,9.158492,9.60468,8.992308,9.979232,9.615128,10.7304,9.546012,10.153088,10.250208,9.656584,10.15378,9.330096,9.75542,9.738376,10.945296,9.81086,9.903228,9.120216,10.199056,9.496284,9.669264,10.681224,9.362144,9.953432,9.901156,9.703948,10.745644,9.945588,10.669488,10.163884,10.238168,9.787048,9.650148,10.708896,9.744776,10.181952,10.106036,9.695216,10.730612,10.010628,10.4029,10.006028,10.586632,9.629764,9.580484,9.580896,10.497924,10.23908,10.437452,9.912792,10.13436,9.6967,9.313288,10.071896,9.196432,9.868728,10.0823,9.89422,9.751576,9.459156,10.158412,9.518812,10.141504,9.790968,9.753328,10.242904,10.15038,10.04288,9.620024,10.688928,10.07952,10.407068,9.830436,10.308088,10.274328,10.291628,10.034752,10.204188,10.240676,10.1463,10.206528,10.151276,10.440176,9.772756,9.55456,10.486672,10.075248,10.181356,9.563784,10.810348,9.74666,9.879064,9.915796,9.88792,10.820604,10.00976,10.33854,9.6532,10.347284,10.24844,9.354512,10.2428,10.126168,10.147932,9.567076,9.514696,9.746744,10.016068,9.39102,10.467296,9.584672,9.78456,10.377296,9.821804,10.211516,9.584272
IMG_001_1_2_2_int.jpg,9.05054,10.974712,9.641484,9.856136,9.388776,9.185392,9.778928,9.074448,8.856536,10.217724,9.13538,9.311172,10.022692,8.86596,9.61056,10.375664,9.890304,9.80046,9.105912,9.721664,9.103568,9.584976,9.111432,8.770044,9.07436,8.830404,9.519488,9.231192,10.231456,9.131028,9.657448,9.866696,9.481656,9.61522,8.887664,9.392676,9.223464,10.657128,9.568484,9.597156,9.03336,9.898568,9.065788,9.236904,10.2022,9.113624,9.530456,9.5331,9.334956,10.370932,9.474716,10.171792,9.734444,10.011192,9.093976,9.250068,10.012416,9.418432,9.833552,9.7803,9.304088,10.222092,9.379756,9.943708,9.701532,10.185408,9.332116,9.221156,9.28548,9.964588,9.778864,9.841364,9.515768,9.771304,9.44394,8.91944,9.751936,8.967568,9.53456,9.51962,9.430804,9.713608,9.009532,9.569724,9.140516,10.056816,9.396008,9.264736,9.923112,9.635132,9.58884,9.191872,10.373224,9.680256,10.15206,9.412092,9.897728,9.871552,9.930692,9.539288,9.77398,9.823436,9.754844,9.731256,9.949628,10.027304,9.427332,9.179656,10.006432,9.692752,9.905484,9.154584,10.405228,9.36242,9.641096,9.526068,9.394112,10.411124,9.583864,9.871252,9.091448,9.859668,9.777216,8.950152,9.650208,9.78988,9.909788,9.195348,9.406152,9.267768,9.46594,9.2035,10.01812,9.126712,9.352056,9.919704,9.388708,9.68514,8.925872
IMG_001_1_2_3_out.jpg,9.462532,11.45352,10.140708,10.28908,9.859048,9.778928,10.256992,9.570832,9.445904,10.725916,9.691828,9.915292,10.501732,9.397152,10.071168,10.835904,10.391296,10.250436,9.567568,10.237712,9.700704,10.129904,9.64864,9.195332,9.587768,9.330724,9.960048,9.691944,10.713512,9.656716,10.15704,10.392872,9.916864,10.09618,9.39884,9.986892,9.66392,11.13608,10.136228,10.162076,9.576744,10.424296,9.464876,9.7412,10.784976,9.728768,10.07272,9.98614,9.825284,10.879148,9.98382,10.582704,10.223972,10.447016,9.671336,9.727812,10.50668,9.84584,10.32944,10.095916,9.70028,10.78646,9.912948,10.439948,10.208988,10.591448,9.764084,9.646156,9.711368,10.446228,10.25292,10.4595,10.002592,10.226752,9.880588,9.345,10.363952,9.618072,10.011984,10.194908,9.885876,10.131304,9.445052,10.20118,9.682932,10.648208,9.894008,9.723856,10.30744,10.179964,10.26336,9.608048,10.884336,10.076648,10.54218,9.88882,10.152128,10.20772,10.381204,10.096528,10.1945,10.385268,10.039196,10.242496,10.420092,10.473624,10.014748,9.627696,10.56208,10.224528,10.351068,9.698376,10.809052,9.863716,10.121272,10.01738,9.91692,10.823684,10.0994,10.392356,9.7786,10.36218,10.269104,9.409288,10.270808,10.227704,10.329492,9.662412,10.008376,9.782488,10.176244,9.589724,10.5398,9.549368,9.741104,10.330136,9.908524,10.187348,9.589368
IMG_001_1_2_4_int.jpg,8.72446,10.742016,9.430948,9.633848,9.46188,9.074448,9.570832,8.835072,8.644552,9.979036,9.004756,9.427004,9.882004,8.765832,9.445328,10.15192,9.724112,9.72162,8.857608,9.346944,8.9006,9.529544,8.85684,8.50322,9.025752,8.626564,9.410256,9.033696,9.944856,9.05634,9.668648,9.791576,9.33516,9.650796,8.797016,9.367516,9.06432,10.326152,9.504404,9.34842,8.732584,9.745624,8.887604,8.985432,9.959464,8.818008,9.561872,9.322508,9.098852,10.144164,9.115948,9.838472,9.559972,9.801856,8.893888,8.976148,9.942216,9.270408,9.764024,9.525292,9.09564,9.908012,9.28134,9.752412,9.369228,10.0458,9.075124,9.083244,9.120296,9.8355,9.555744,9.707644,9.408912,9.585784,9.112348,8.728944,9.591152,8.578184,9.458872,9.534108,9.351324,9.488904,8.828452,9.520276,9.064364,9.782936,9.094112,9.005656,9.739792,9.454364,9.494584,9.050864,10.088248,9.405768,9.88202,9.32654,9.752776,9.641056,9.665132,9.21528,9.627396,9.737004,9.4807,9.572552,9.73034,9.82372,9.255964,9.042616,9.702024,9.654216,9.56566,8.883272,10.186836,8.991908,9.599248,9.389204,9.184128,10.108764,9.45516,9.676036,9.102624,9.658276,9.729768,8.767952,9.464336,9.416496,9.719644,9.034284,9.239864,9.101256,9.313708,9.03702,9.735552,8.831952,9.174072,9.807992,9.130644,9.730268,8.498032
IMG_001_1_3_1_out.jpg,8.538084,10.628536,9.262156,9.383752,9.28628,8.856536,9.445904,8.644552,8.464912,9.810092,8.832788,9.134068,9.555388,8.560312,9.234768,9.95564,9.43284,9.519836,8.604152,9.259752,8.719568,9.353512,8.54364,8.347372,8.782496,8.40094,9.154424,8.818904,9.68684,8.830588,9.380888,9.580088,9.087448,9.356308,8.593088,9.172316,8.798904,10.25168,9.315588,9.186628,8.386104,9.601808,8.623012,8.745648,9.76504,8.415592,9.313016,9.092788,8.894252,9.940036,8.978964,9.731432,9.26258,9.625672,8.682736,8.763212,9.658616,9.04148,9.50792,9.357196,8.857592,9.699692,9.115316,9.58898,9.241612,9.83548,8.879052,8.879436,8.866808,9.668508,9.357672,9.414196,9.215064,9.35128,8.95682,8.499976,9.333208,8.35704,9.1728,9.346332,9.085028,9.280992,8.664428,9.386428,8.826348,9.497592,8.916072,8.807448,9.509192,9.285548,9.325896,8.829464,9.923,9.241832,9.69654,9.046852,9.53892,9.500216,9.438772,9.01776,9.4729,9.503868,9.269796,9.446744,9.530644,9.572536,9.03422,8.77376,9.508744,9.372288,9.401548,8.733168,9.968652,8.828388,9.383376,9.1639,9.02704,9.922628,9.23392,9.43022,8.902296,9.53002,9.543216,8.511352,9.312,9.216568,9.549604,8.752156,9.026488,8.852416,9.156396,8.795092,9.557672,8.644104,8.965896,9.4788,8.939204,9.481604,8.475408
IMG_001_1_3_2_int.jpg,9.820696,11.884924,10.598288,10.734356,10.647076,10.217724,10.725916,9.979036,9.810092,10.877896,10.137064,10.484544,10.803592,9.943948,10.542236,11.185388,10.811988,10.815856,9.844412,10.48978,9.938124,10.66042,9.892876,9.651088,10.076284,9.652224,10.541652,10.13718,10.947068,10.151336,10.696612,10.852988,10.327812,10.717704,9.987548,10.44136,10.119252,11.5653,10.523872,10.375304,9.755884,10.802444,9.96852,10.040164,10.931308,9.797316,10.609404,10.431208,10.20608,11.18916,10.2314,11.045124,10.661112,10.84494,9.916868,10.056224,10.87414,10.41214,10.764436,10.67132,10.206396,11.002024,10.419384,10.867312,10.396832,11.101572,10.07496,10.153832,10.127668,10.87456,10.63566,10.614304,10.510164,10.681292,10.185856,9.81966,10.674564,9.716036,10.469348,10.59304,10.386096,10.514436,9.868448,10.373224,10.100496,10.793316,10.190644,10.132812,10.7319,10.568256,10.557404,10.184028,11.308724,10.614252,10.91332,10.37604,10.915788,10.84466,10.735992,10.471948,10.70404,10.796928,10.59048,10.777556,10.824744,10.968308,10.223216,10.11766,10.772708,10.6919,10.655912,10.010948,11.264784,10.200368,10.660756,10.483224,10.332364,11.338448,10.554804,10.79964,10.353044,10.856232,10.773796,9.839428,10.504788,10.480324,10.905944,10.072616,10.281484,10.23262,10.367824,10.186656,10.90534,9.896492,10.317716,10.844596,10.123272,10.73384,9.77066
